"ID","INCOME_CONTACT_ID","INCOME_START_DATE","INCOME_END_DATE","INCOME_CURRENCY","INCOME_AMOUNT","INCOME_PLEDGE_PERCENTAGE","STATUS"
"a004E000007xQpvQAE","390","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","1","10","Item Created"
"a004E000007xQpwQAE","392","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","USD","13572","10","Item Created"
"a004E000007xQpxQAE","392","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","15850","10","Item Created"
"a004E000007xQpyQAE","393","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","EUR","325000","10","Item Created"
"a004E000007xQpzQAE","393","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","EUR","415000","10","Item Created"
"a004E000007xQq0QAE","393","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","EUR","456000","10","Item Created"
"a004E000007xQq1QAE","393","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","EUR","770000","10","Item Created"
"a004E000007xQq2QAE","393","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","EUR","330000","10","Item Created"
"a004E000007xQq3QAE","393","2016-01-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","EUR","150000","10","Item Created"
"a004E000007xQq4QAE","394","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","257200","10","Item Created"
"a004E000007xQq5QAE","396","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","USD","70000","10","Item Created"
"a004E000007xQq6QAE","396","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","75000","10","Item Created"
"a004E000007xQq7QAE","396","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","80000","10","Item Created"
"a004E000007xQq8QAE","396","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","127689","10","Item Created"
"a004E000007xQq9QAE","396","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","106120","10","Item Created"
"a004E000007xQqAQAU","399","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","USD","1560","10","Item Created"
"a004E000007xQqBQAU","401","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","30000","10","Item Created"
"a004E000007xQqCQAU","401","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","30000","10","Item Created"
"a004E000007xQqDQAU","403","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","USD","3000","10","Item Created"
"a004E000007xQqEQAU","404","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","30000","10","Item Created"
"a004E000007xQqFQAU","404","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","100000","10","Item Created"
"a004E000007xQqGQAU","404","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","100000","10","Item Created"
"a004E000007xQqHQAU","404","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","110000","10","Item Created"
"a004E000007xQqIQAU","406","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","USD","1200","15","Item Created"
"a004E000007xQqJQAU","410","2011-02-01T00:00:00.000Z","2012-01-31T00:00:00.000Z","USD","1190","10","Item Created"
"a004E000007xQqKQAU","410","2013-02-01T00:00:00.000Z","2014-01-31T00:00:00.000Z","NZD","10000","10","Item Created"
"a004E000007xQqLQAU","410","2014-02-01T00:00:00.000Z","2015-01-31T00:00:00.000Z","NZD","18000","10","Item Created"
"a004E000007xQqMQAU","410","2015-02-01T00:00:00.000Z","2016-01-31T00:00:00.000Z","NZD","18000","10","Item Created"
