"INCOME_CONTACT_ID","INCOME_START_DATE","INCOME_END_DATE","INCOME_CURRENCY","INCOME_AMOUNT","INCOME_PLEDGE_PERCENTAGE","ERROR"
"8813","2014-04-05T23:00:00.000Z","2015-04-04T23:00:00.000Z","GBP","139081","","Pledge percent cannot be less than 0% or more than 99%"
"8881","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","82500","","Pledge percent cannot be less than 0% or more than 99%"
"8905","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","17388","","Pledge percent cannot be less than 0% or more than 99%"
"8993","2015-04-05T23:00:00.000Z","2016-04-04T23:00:00.000Z","GBP","100","","Pledge percent cannot be less than 0% or more than 99%"
"9112","2015-04-05T23:00:00.000Z","2016-04-04T23:00:00.000Z","GBP","28000","","Pledge percent cannot be less than 0% or more than 99%"
"9112","2016-04-05T23:00:00.000Z","2017-04-04T23:00:00.000Z","GBP","31342","","Pledge percent cannot be less than 0% or more than 99%"
"9202","2015-08-31T23:00:00.000Z","2016-08-30T23:00:00.000Z","EUR","19500","","Pledge percent cannot be less than 0% or more than 99%"
"9216","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","53000","","Pledge percent cannot be less than 0% or more than 99%"
"9228","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","29000","","Pledge percent cannot be less than 0% or more than 99%"
"9228","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","89000","","Pledge percent cannot be less than 0% or more than 99%"
"9266","2014-09-30T23:00:00.000Z","2015-09-29T23:00:00.000Z","EUR","32000","","Pledge percent cannot be less than 0% or more than 99%"
"9266","2015-09-30T23:00:00.000Z","2016-09-29T23:00:00.000Z","USD","55000","","Pledge percent cannot be less than 0% or more than 99%"
"9272","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","EUR","12000","","Pledge percent cannot be less than 0% or more than 99%"
